,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lebu,84,ET,1563990335,84,8.96,38.73,57.79,2.75
1,Adrar,0,DZ,1563990336,10,27.87,-0.29,107.6,19.46
2,Mogadishu,100,SO,1563990337,80,2.04,45.34,74.71,14.79
3,Punta Arenas,75,CL,1563990338,86,-53.16,-70.91,37.4,4.7
4,Jamestown,0,AU,1563990288,91,-33.21,138.6,45.91,5.75
5,Vidim,0,CZ,1563990344,27,50.47,14.53,89.6,6.93
6,Deer Lake,75,CA,1563990346,60,49.18,-57.43,69.8,2.24
7,Red Bluff,1,US,1563990049,27,40.18,-122.24,89.01,11.41
8,Bubaque,91,GW,1563990348,86,11.28,-15.83,78.49,16.82
9,Bluff,0,AU,1563990370,52,-23.58,149.07,54.55,4.92
10,Butaritari,26,KI,1563990371,70,3.07,172.79,84.07,4.0
11,Ushuaia,0,AR,1563990176,64,-54.81,-68.31,39.2,9.17
12,Port Alfred,0,ZA,1563990374,75,-33.59,26.89,55.99,1.99
13,Dunedin,6,NZ,1563990155,77,-45.87,170.5,46.0,5.01
14,Saint-Philippe,90,CA,1563990377,60,45.36,-73.48,77.0,4.7
15,Moron,5,HT,1563990378,69,18.56,-74.26,83.35,3.51
16,Pahrump,40,US,1563990321,21,36.21,-115.98,99.0,5.97
17,Tiksi,77,RU,1563990381,68,71.64,128.87,43.39,2.98
18,Robertson,0,AU,1563990384,70,-34.59,150.59,46.99,12.75
19,Hermanus,86,ZA,1563990386,75,-34.42,19.24,57.0,10.0
20,New Norfolk,75,AU,1563990387,62,-42.78,147.06,53.6,11.41
21,Faanui,0,PF,1563990390,82,-16.48,-151.75,79.75,10.04
22,Guerrero Negro,16,MX,1563990392,76,27.97,-114.04,69.67,5.99
23,Dingle,0,PH,1563990394,90,11.0,122.67,73.99,5.08
24,Castro,20,CL,1563990395,76,-42.48,-73.76,48.2,2.24
25,Torbay,90,CA,1563990396,88,47.66,-52.73,68.0,10.29
26,Qaanaaq,54,GL,1563990275,47,77.48,-69.36,46.63,7.96
27,Geraldton,90,CA,1563990399,60,49.72,-86.95,75.2,9.17
28,Port Elizabeth,20,US,1563990400,54,39.31,-74.98,86.0,9.17
29,Severo-Kurilsk,100,RU,1563990403,96,50.68,156.12,46.63,19.35
30,Ternate,40,PH,1563990404,78,14.29,120.72,82.4,4.7
31,Taltal,40,CL,1563990405,77,-25.41,-70.49,47.17,4.76
32,Altay,60,CN,1563990408,84,47.83,88.13,45.55,5.1
33,Albany,40,US,1563990215,44,42.65,-73.75,81.0,3.36
34,Kaohsiung,40,TW,1563990410,88,22.62,120.31,82.99,2.24
35,Klaksvik,87,FO,1563990412,100,62.23,-6.59,53.6,2.24
36,Nueve de Julio,0,AR,1563990311,25,-31.67,-68.39,56.53,9.48
37,Pyaozerskiy,79,RU,1563990415,78,65.83,31.17,59.41,8.72
38,Panorama,0,BR,1563990417,31,-21.35,-51.86,86.59,5.23
39,Saint George,20,GR,1563990418,65,39.45,22.34,81.0,13.87
40,Lavrentiya,100,RU,1563990419,96,65.58,-170.99,44.29,4.25
41,Mount Gambier,90,AU,1563990420,100,-37.83,140.78,51.8,11.41
42,Vershino-Darasunskiy,46,RU,1563990421,92,52.35,115.52,48.97,1.79
